,indice_Inflazione_GT_PCA_SA,indice_Tematico_GT_SA,indice_Termini_Diretti_Purificato,indice_Alimentari_Purificato,indice_Energia_Purificato,indice_Abitazione_Purificato,indice_Trasporti_Purificato,indice_Politiche_Economiche_Purificato,indice_Aspettative_Consumatori_Purificato,indice_Sanita_Purificato,indice_Ricreazione_Purificato
2009-03-01,0.0151367410759192,-3.83254879377742,-1.78959,-1.57345,-1.06091,-0.35966,-2.00101,-0.68119,-0.97643,-1.04929,-0.93456
2009-04-01,-0.653886711791564,-3.85003023476799,-0.95502,-1.9624,-1.35567,-0.68203,-1.31118,-0.8961,-1.17577,-1.64798,-1.2745
2009-05-01,-0.635186489678148,-4.01235703836985,-0.9008,-2.21438,-1.51044,-1.77669,-1.02966,-0.89798,-1.54419,-1.43539,-0.68142
2009-06-01,-0.550323634347058,-3.94627651530762,-0.95502,-2.47822,-1.51044,-1.07893,-1.47197,-0.39121,-1.27544,-1.43793,-0.9911
2009-07-01,-0.641727856182769,-3.34428602390603,-1.17686,-1.9624,-1.51044,-0.35966,-1.30846,-1.3294,-1.27544,-0.39396,-0.9911
2009-08-01,-0.683660296740505,-3.84530188189981,-2.22217,-1.61612,-1.29794,-1.61564,-1.20669,-1.61764,-2.21163,-1.48728,-0.96283
2009-09-01,-1.28149673746876,-3.90387573537711,-1.24219,-1.83728,-1.41341,-0.52743,-0.85808,-1.25593,-0.45677,-1.25302,-1.42104
2009-10-01,-1.55594221017564,-3.74617361827801,-1.06594,-1.66657,-1.56817,-0.69521,-1.29766,-0.82639,-1.64386,-1.09357,-1.62611
2009-11-01,-1.09313989653007,-3.98592450125433,-1.26498,-1.92865,-1.09749,-1.87376,-1.42894,-0.89798,-1.17577,-1.54042,-0.54656
2009-12-01,-1.40928940743573,-3.79823718923244,-2.2986,-1.36297,-1.09749,-2.70488,-1.9528,-0.68321,-1.17577,-1.95674,-0.55176
2010-01-01,-1.2167787944318,-3.5353491547852,-1.26498,-1.44833,-0.92157,-1.28113,-0.9999,-0.53815,-0.97643,-1.35551,-0.20341
2010-02-01,-1.55712316887482,-3.42574820487197,-1.72426,-1.97133,-1.00045,-0.61132,-1.22241,-0.46656,-0.97643,-1.53789,-0.40001
2010-03-01,-1.64387284002708,-3.39811522495704,-1.15406,-1.23786,-1.09749,-0.52743,-1.12638,-1.18622,-0.3571,-1.54042,-1.11136
2010-04-01,-1.33887190472615,-2.95128845258563,-1.15406,-1.70925,-0.98202,-0.49947,-1.58795,-0.68321,-0.3571,-0.85552,-0.93456
2010-05-01,-1.35077180739849,-3.28745867819118,-1.43013,-1.53077,-1.35567,-1.11335,-0.86862,0.10615,-1.0761,-1.25302,-0.96283
2010-06-01,-1.71009375840636,-3.48152208104136,-1.15406,-2.0982,-1.41341,-0.38762,-1.54246,-0.1802,-1.64386,-1.17345,-0.96283
2010-07-01,-2.33397410224913,-3.06780384379598,-1.342,-1.93041,-1.35567,-0.3317,-1.30396,-1.04116,-0.45677,-0.7228,-0.96283
2010-08-01,-1.33218799987231,-3.02818240415536,-1.83518,-1.62681,-1.08272,-0.89637,-1.00016,-1.54605,-0.70768,-1.69733,-0.93456
2010-09-01,-1.72318071977704,-2.86849329187848,-1.04314,-1.62506,-1.29522,-0.44355,0.02501,-0.96957,0.26223,-0.93919,-1.08111
2010-10-01,-1.81743556304501,-3.01588109714124,-0.71038,-1.36297,-1.47114,-2.02836,-0.69431,-0.6096,-0.08835,-1.20113,-0.82797
2010-11-01,-1.71830934113949,-2.7149998817107,-1.40261,-0.89877,-1.31637,-0.61132,-1.61745,-0.14558,0.26223,-1.20113,-0.7997
2010-12-01,-1.63883474793932,-2.65117133257752,-1.23499,-1.02388,-1.23749,-1.92969,-1.76497,-0.47062,-0.45677,-1.46308,-0.00676
