,indice_Termini_Diretti,indice_Alimentari,indice_Energia,indice_Abitazione,indice_Trasporti,indice_Politiche_Economiche,indice_Aspettative_Consumatori,indice_Sanita,indice_Ricreazione,indice_globale
2009-04-01,-1.5615171434315587,-2.571565751217136,-1.258910071242861,-0.5927508454301383,-1.1830229045632865,-1.5027227050896137,-2.228177983158044,-1.5587882214021662,-1.8680487324947352,-4.681603581614391
2009-05-01,-1.8316398035541228,-2.0148757351169153,-1.5124807850620243,-1.9930398739506237,-1.190944138160645,-1.4219650940065276,-2.3806760588152334,-1.2968547548310656,-1.0927278861503003,-4.738636117113077
2009-06-01,-1.401093164294491,-2.014353332763513,-1.356475419679927,-0.17393777996594337,-1.1300638298366763,-0.923044088695926,-1.6848070659376204,-1.461444689533834,-1.1717231878058438,-3.766717520942988
2009-07-01,-1.6517052732405237,-1.8457649550934014,-1.356475419679927,0.6123482849385986,-1.3243203242473884,-1.4363404328186138,-2.064544430251008,-0.532682194934775,-1.0175614077991944,-3.296499952689574
2009-08-01,-1.6237203657736485,-2.183464112787027,-1.5124807850620243,-0.6596481687246727,-0.9577371670625888,-1.3699581605476139,-0.6776850155735037,-1.3585408086176907,-0.6211779778736093,-3.582782628142743
2009-09-01,-2.0271847888698398,-1.972300640510199,-1.4149154366249583,-0.35129386394351736,-0.8689956341496199,-1.1940675995693562,-0.6999730344547139,-1.029360939212154,-1.509400037789905,-3.539233306837942
2009-10-01,-1.7121285086997138,-1.5508737069668037,-1.5709208020070557,-0.8292256240669039,-1.4565154593901983,-1.274825210652442,-1.2020262348071855,-1.5055952993573918,-1.2762429561277115,-3.9815936590890986
2009-11-01,-1.98648834696745,-1.551018500663349,-1.0959464405628427,-1.5614659770012302,-1.700158864375081,-1.1940675995693562,-1.2782752726357804,-1.1351976028223374,-0.4422155298417526,-3.761845265256383
2009-12-01,-2.058287940798184,-1.3735579321566644,-1.0959464405628427,-1.3791276901738003,-1.900223622353184,-1.0325523774031842,0.6009926255924178,-1.8177889052792269,0.03384632474612485,-3.216177219159189
2010-01-01,-1.6233863653174883,-1.457663316663292,-1.0959464405628427,-0.43997190593230434,-2.198938114398667,-1.17969226075727,-0.2934412411528739,-1.3941982866993978,-0.7512222128618009,-3.325297643088649
2010-02-01,-1.8218241081706124,-1.5084434060566332,-0.9983810921257769,-0.7405475820781167,-1.7679034424334361,-0.9374194275080122,-0.45858261888949675,-1.6616921023183093,-0.9550260045532326,-3.5090982096759276
2010-03-01,-1.8922823629081793,-1.1623944598798372,-1.2519518059449402,-0.6814288874189254,-1.7426815052148648,-1.0325523774031842,-1.3545243104643752,-1.0267333728583834,-1.0340213062087764,-3.499468908474417
2010-04-01,-1.8358769816992946,-2.1077085167635703,-0.97906640667278,-0.26261582195473043,-1.4875456601761607,-1.0325523774031842,-0.623723996626119,-1.0854866439509685,-1.3258849678124935,-3.471710734625037
2010-05-01,-1.6881645369977418,-1.500238411270008,-1.356475419679927,-0.2330564746251347,-1.4450230193363771,-0.7759042053418402,-0.962143644071555,-1.1913233075611518,-1.3552382577832556,-3.4204000711920486
2010-06-01,-1.6051125059005513,-1.7616595705867741,-1.4149154366249583,-0.9306644975408895,-1.3163990906500296,-0.6143889831756685,-1.5070223861215648,-1.1883905248671116,-1.1717231878058438,-3.823968491156452
2010-07-01,-1.8008737335965372,-1.5929263992201173,-1.258910071242861,-0.14437843263634761,-1.0727566433611238,-1.2892005494645282,-0.7762220722833089,-0.7712146521547285,-0.9882081178284325,-3.0176657473899056
2010-08-01,-1.4773461786506654,-1.5929263992201173,-0.7605548826251812,-0.6351618040840527,-0.8312262084062085,-1.1276853272983562,-1.3671676125438081,-1.2360230978640754,-0.7753397578802591,-3.1257531678574066
2010-09-01,-1.9132489297391717,-1.5084434060566332,-1.2939692610144258,-0.2921751692843261,-0.698905070790484,-0.9517947663200983,-0.623723996626119,-1.1296372537745265,-0.9965895630784253,-3.0044607612881613
2010-10-01,-1.4656520120798784,-1.2468774530433213,-1.47335545356999,-0.7701069294077124,-1.0254807874249674,-0.35029065318811065,-0.24398663231273185,-1.2381014837384805,-0.9175942614228814,-2.951504339532855
2010-11-01,-1.238397030402508,-0.9941836908665828,-1.3173500881878923,-0.43997190593230434,-1.4944099299105473,-0.22014480076876947,-0.623723996626119,-1.082004680777563,-0.8882409714521196,-2.79545781965707
2010-12-01,-0.9323265481662559,-0.5636517515263026,-1.1770892271243627,-1.0194333193687968,-1.5600415379389352,-0.6070203714352231,-0.15509429240470404,-1.3941982866993978,-0.053530422159411964,-2.46240643666248
2011-01-01,-1.4883823735368533,-0.8676480054497848,-0.8581202310622472,-0.26261582195473043,-1.6266060227493342,-0.8125987050131606,-0.38233358106090176,-1.032293721906194,-0.1797051582087972,-2.3428411826978017
2011-02-01,-1.5572799652863871,-1.0362363831198962,-0.7996802141172158,-0.2921751692843261,-1.26912419240985,-0.6420332739593921,-0.2934412411528739,-0.9238294919422403,-1.0340213062087764,-2.489931452185056
2011-03-01,-1.7767920038186735,-1.1208641699799258,-0.7412401971721844,-0.2330564746251347,-1.3174550968170249,-1.0639217471500149,-0.217192203324279,-1.0267333728583834,-0.9672362731076634,-2.597911302590131
2011-04-01,-1.7950789739779298,-1.3824301229932374,-0.6436748487351184,-0.2330564746251347,-0.9704097003643665,-0.9741139271793324,-0.39497688314033463,-1.0238005901643434,-1.0836633178935584,-2.6497962282543917
2011-05-01,-1.970486642305428,-1.3822853292966921,-0.6436748487351184,-1.088516419727699,-0.8370335142776235,-0.6106639042125616,0.7408473991701745,-0.6031427542785545,-0.5505641214680583,-2.1824699379960952
2011-06-01,-1.4475843658154885,-1.0362363831198962,-0.8230610412906826,-0.2675980248045859,-1.115278326504931,-0.3046274908149624,0.09893942523994613,-0.9238294919422403,-0.9882081178284325,-2.237339439848058
2011-07-01,-1.291613807203861,-1.3402326370433786,-1.0602091932343,-0.20847933014539458,-0.9739818645168059,-0.408442565435522,-0.45858261888949675,-0.4590210462328934,-0.15418069154247346,-2.095178341285461
2011-08-01,-1.383140194591395,-0.8676480054497848,-1.0017691762892686,-0.7583813962522911,-0.5486323267339818,0.021757813964457924,0.14990185890967508,-0.45052791449104257,-0.7459864679094973,-1.8729667983419813
2011-09-01,-1.7570621287472759,-0.8676480054497848,-1.1186492101793315,-1.1180757670572947,-0.42423146501963926,0.28299281327205184,0.3150432366462978,-0.6116358860204054,-0.73407919144547,-2.0524730668594464
2011-10-01,-1.574228677867074,-0.6990596277796733,-1.1770892271243627,-0.622310192759734,-1.000258850206396,-0.6291345405037849,-0.17887307173398329,-0.973540450813609,-0.9672362731076634,-2.479501404295494
2011-11-01,-1.416585861220717,-0.5304712501095616,-0.7021148656801498,-1.3545505456940603,-1.2612029588124911,4.184745425021987,0.07516064591066722,-0.973540450813609,-0.054213545166160684,-1.4879626973606455
2011-12-01,-1.1711585859453846,0.06879386059737547,0.007297621101167102,-1.142652911537035,-1.5142258338212278,2.5682839590829687,0.39129227447489273,-0.970607668119569,0.9933653640747203,-0.674040099855546
2012-01-01,-1.259057721135654,-0.5303264564130163,-0.17208857145439707,-1.1476351143868904,-1.2233084882921421,1.4466482009754151,0.7725374636178668,-0.6087031033263651,-0.25870045986434104,-1.2333447426916229
2012-02-01,-1.3491412036110464,-0.6144318409196436,-0.2889686053444599,-0.5040728034413513,-1.2864248960310625,1.3334963794908183,0.06251734383123443,-0.6031427542785545,-0.8295343915105959,-1.5593888364412962
2012-03-01,-1.0091739438202834,-0.23505759962956135,-0.11364855450936566,-0.6272923956095896,-1.1509357399143518,1.3154775079013943,1.110957111063303,-0.44704595131763697,-0.4331509615850109,-0.7327989083155803
2012-04-01,-1.2620713182635506,-0.2349128059330162,-0.3474086222894913,-0.7583813962522911,-0.7865896398404808,1.2794397647225446,0.5073682687233705,-0.7116069842425083,-0.17064058995205547,-1.0205150895955364
2012-05-01,-1.2807526195973085,-0.403645977299673,-0.5267948148450555,-0.3267167194637772,-0.726766295379484,1.307165601692037,0.06251734383123443,-0.34414207040149386,-0.4918575415265346,-1.0958342160952257
2012-06-01,-1.319598714670736,-0.7076422312231551,-0.40991478095499256,-0.8520416410909337,-0.556675732020348,1.7927361088452325,-0.39497688314033463,-0.6116358860204054,-0.41669106317542876,-1.4778272056317967
2012-07-01,-1.026338898781239,-0.5722343549697846,-0.2889686053444599,-0.6746855571133594,-0.4005937667004775,1.4322728621633292,1.2745906639703384,0.06747345326307845,0.21284944841234946,-0.24607909227411495
2012-08-01,-1.3846977760648307,-0.27763269423627734,-0.4326175505714814,-0.22133094146971313,-0.3176614550508772,1.413310696104993,1.5669435132052851,-0.4590210462328934,0.2715560283538731,-0.1732662122207918
2012-09-01,-1.4504802048674932,0.11099134654723444,-0.3474086222894913,-1.0589570723981034,0.38487880418421283,1.2434835677294642,1.4033099602982493,-0.558442963975631,0.12930152481125087,-0.19987155589270156
2012-10-01,-1.5024321655509376,-0.19300490737624776,-0.7021148656801498,-1.2658725037052732,-0.08880259570176297,0.6867808686874816,0.7487586842885883,-0.18804526744057637,-0.054213545166160684,-0.8934444061045734
