,indice_Termini_Diretti,indice_Alimentari,indice_Energia,indice_Abitazione,indice_Trasporti,indice_Politiche_Economiche,indice_Aspettative_Consumatori,indice_Sanita,indice_Ricreazione,indice_globale,indice_Inflazione_Aggregato
2012-10-01,-0.9550177378850303,-0.18140693170236777,-0.7090651216179517,-0.3381565458407068,-0.31101967167974937,1.0560223917880576,-0.4567731934690762,-0.13043734011053904,-0.15009054778482894,-0.9439658996915239,-0.2994106877176168
2012-11-01,-0.9550177378850303,0.03081875807079167,-0.5331442896007902,-1.0853871548587521,-0.9303491655899144,0.9896718965816895,0.36189858858530516,-0.5254046906048484,0.5895280768396943,-0.9358301795754453,-0.5648249082588561
2012-12-01,-1.1768592392449975,0.28163452273513206,-0.7667977428139616,-1.2252002475604182,-1.1694044422255627,1.7374306985844563,1.00804149328201,-1.0961044853041133,0.3594551709015956,-1.1273538409692119,-0.7554627860885988
2013-01-01,-0.801563490736794,-0.0972168970971562,-0.2749568460980564,-0.9455740621570863,0.00026797673091870535,1.545716859334561,-0.25742838632034226,-0.3153462056942002,-0.28495392164964634,-0.8114345607589928,-0.16195277630478289
2013-02-01,-0.8896884900128673,0.37417098383658937,-0.4508776781152179,-0.2542686902197072,-0.7960875831000643,1.368053251548817,-0.35710078989470917,-0.2848162707531344,-0.22841605570628448,-0.7586167058866052,-0.46739538944603976
2013-03-01,-0.9778134892889406,0.19744448812992055,-0.2749568460980564,-0.8896488250764198,-1.0456442135846833,0.49131429504096835,-0.4567731934690762,-0.17725326798165558,-0.14360925679124176,-1.1643371698572893,-0.6794217007747506
2013-04-01,-0.5908304632112203,0.5448851907271864,-0.5908769107968,-0.7777983509150871,-0.8821400235873941,0.3479873761494877,-0.25742838632034226,-0.4203754481495244,-0.031813449318986,-0.9472914627425623,-0.32886153962252557
2013-05-01,-0.5908304632112203,0.19861155697000749,-0.4508776781152179,-0.08003240054662267,-0.39654863854168465,0.36842210004072246,-0.4567731934690762,-0.02287433733906018,0.22132702301167437,-0.45412720064303674,-0.4535266148432884
2013-06-01,-0.42568893849346745,0.19861155697000749,-0.7667977428139616,0.031818073614710084,-0.2760706687880603,0.2991556564077023,-1.1757725719490906,-0.1797870282978103,-0.28495392164964634,-0.9271028983579407,-0.5873413728623892
2013-07-01,-0.8896884900128673,-0.015368471954446317,-0.5331442896007902,-0.4981721655117552,-0.8071488665505139,0.0987344421485654,-0.5564455970434432,-0.1052877207835519,-0.5380943939803067,-1.3006145800862632,-0.9150382414072092
2013-08-01,-1.4847549377325677,-0.05337127653441993,-0.5331442896007902,-0.6379852582134211,0.16419658599842643,-0.3857211943891274,-0.08835494603602669,-0.5747543787921197,-0.2001471227346035,-1.1703874464822808,-1.1273964854745977
2013-09-01,-0.866892738608957,0.323725804146574,-0.5331442896007902,-0.13595763762728905,1.5807397621298342,0.1726466509459024,-0.08835494603602669,-0.20778320292272137,-0.15009054778482894,0.024300092925875944,-0.8844987295368918
2013-10-01,-0.5908304632112203,0.46244949527326923,-0.5908769107968,-0.24780811178862186,0.0725368044820226,0.3320546062239971,-0.25742838632034226,-0.20524944260656666,0.13131885751751235,-0.3468030727437537,-0.5564029402943148
2013-11-01,-0.5908304632112203,1.0131821908362417,-0.5908769107968,-0.24780811178862186,-0.23576677783017175,-0.18500344720774356,0.011317457538340332,-0.02287433733906018,0.9472781404528554,0.16445079578418242,-0.2924763004162411
2013-12-01,-0.7017512138912041,1.1786408520552836,-0.4149560787796386,-1.0853871548587521,-0.8956618995109226,0.029764531437792157,0.1109898611127073,-0.5442244438510538,0.7539403080906606,-0.47957304860266425,-0.6794217007747506
2014-01-01,-0.3381427429525168,0.8804707885256181,-0.09903601408089478,-0.08003240054662267,0.0322329135241341,0.2809000039000532,-0.35710078989470917,0.23653383575885933,0.6177970098113752,0.4475471781438014,-0.050084106559568436
