,indice_Termini_Diretti,indice_Alimentari,indice_Energia,indice_Abitazione,indice_Trasporti,indice_Politiche_Economiche,indice_Aspettative_Consumatori,indice_Sanita,indice_Ricreazione,indice_globale
2007-08-01,-0.787363298246043,-0.9973558669866209,-1.8314675987895095,-1.1672709961969074,-1.2711412034073957,0.7532790406400981,-0.882399032322762,-2.3536396234135424,-1.6598550253552213,-3.873025544534327
2007-09-01,-1.311828652499947,-0.9468533867574039,-1.8094136673481345,-1.2611268998853071,-0.9773882039846208,0.823152483178086,-2.207866448306132,-1.3625197865579992,-1.368675903088394,-3.820598929926389
2007-10-01,-0.7019126607730919,-1.5016079874800439,-1.5814626695857448,-1.3714468713095145,-1.4666409689440403,0.4805150121632781,-1.597887554537188,-1.4513031561085818,-1.368675903088394,-3.9050638084953793
2007-11-01,-0.5914739665973645,-1.0280167049261262,-1.4560520194804243,-0.4257304553683516,-1.9691785906754966,0.5320788763573776,-1.147881386604251,-1.5767127238844405,-1.0628012918323835,-3.2915895480601423
2007-12-01,-1.0832722038987956,-1.3221611570228844,-1.3306413693751038,-2.6496443851188527,-1.4653748891120135,0.10442266465186595,-0.3078103002545085,-1.5472577611184315,-0.8863757066031037,-3.750963484250131
2008-01-01,0.169621426017412,-1.3742813959712845,-1.0651174482035457,-0.5319262469774327,-1.5448717859485661,0.6716251707869604,0.013826865376934273,-0.6783011370348552,-1.266152011671238,-2.2998840294209884
2008-02-01,-0.5045222480817264,-1.4600020462507581,-1.1978794087893245,-1.7581870018023156,-1.8366703637014077,0.4138058498164629,-1.9067801102379818,-2.1276229971655862,-0.8693660220055106,-4.197114325020715
2008-03-01,-0.8760810894298561,-1.4710443122401333,-1.2642603890822142,-1.666456014001832,-1.554391572261844,0.2593148478805575,-1.223736028000979,-1.2985725544057107,-1.0188624812250309,-3.6608482141516197
2008-04-01,-0.33609257878699617,-1.508902295180491,-1.1966527114689371,-1.1475837017334514,-1.3606560553294424,0.2075503930400649,-2.294686851144742,-1.493696392812388,-0.9279757122086798,-3.700060411800818
2008-05-01,-0.7740772835581808,-2.1633144317222586,-1.0945226901253793,-1.000986716149274,-1.2917503007100843,0.05265820981137331,-1.8587569782449622,-0.906123913462169,-0.9279757122086798,-3.571925728789597
2008-06-01,-0.18720904764643956,-1.7752045202073357,-1.0798200691644624,-0.3553303647208777,-1.1875973709302308,0.8410608802291885,-1.5530822147120786,-1.9903539535222914,-1.2783856486918144,-3.4100381605735564
2008-07-01,-0.1936165204739111,-2.434657003288826,-0.9324987081955832,-0.2890544538885301,-1.2579481116071418,0.996153654104273,-1.5837867543950492,-0.9068128779781042,-1.307702798490082,-3.1893299643260584
2008-08-01,-1.0943763422865382,-2.0673342903838487,-1.2196225963482206,-1.024022889301084,-0.9797482990667211,0.10462325529825905,-1.506823488122493,-1.4879293543338576,-1.354029632885943,-3.7908465497654538
2008-09-01,-0.7284691457115244,-2.3333972361702147,-0.8442070170391351,-1.000986716149274,-0.1462809894543242,0.4655703046569556,-1.9225963055655915,-1.45811796521008,-1.2807736724803227,-3.4469432035060166
2008-10-01,-0.863026075088427,-1.289196948133352,-0.8144393685707211,-0.6475943610172045,-0.8453627234706879,0.31067812142826395,-1.6741359680405272,-1.3089894456993494,-1.2807736724803227,-3.0205275311667155
2008-11-01,-0.9770038408494459,-1.1066978541653307,-1.240617353773871,-0.6640584287530125,-1.0745200180744998,0.2079515743328512,-1.6592721287941479,-1.546898955011399,-0.6830988149443473,-3.152366650952619
2008-12-01,-1.0290194515235738,-1.465678595232022,-1.2199333402306998,-1.903560024586055,-1.4806713663325868,-0.07029508654779193,-1.195214170937035,-1.9163152289867402,0.10803592181186719,-3.666946642827802
2009-01-01,-0.7911567863907984,-1.7138879817575368,-0.9251473977151249,-0.5483903147132408,-1.6828218707284852,0.5169335782046619,-1.0851016739414867,-1.025441043849122,-0.6221257103460356,-2.968912386429449
2009-02-01,-0.8993583388654318,-1.9113460154361301,-1.2423496782186554,-0.5261584644727532,-1.859332127530909,0.07005423246968043,-1.3000334517222811,-1.231017781393235,-1.004191601629214,-3.558635177858743
2009-03-01,-0.9962262593318605,-1.5501223846803998,-1.3294146720547162,-0.4709984787606494,-1.4404351373512776,-0.2742991568162814,-1.4210872050507297,-1.0186262347476238,-1.2953953332894077,-3.3592925427811418
2009-04-01,-1.1445940311045477,-1.9560858554561735,-1.2868199476479865,-0.7146745947608744,-0.7235572050993418,-0.25652438470683064,-1.5541807775642584,-1.361830822042064,-1.6897440803798947,-3.672702319844392
2009-05-01,-1.3189919533817738,-2.391830226541419,-1.4634033299608826,-1.1508069284610996,-0.7198745617948779,-0.101632201478139,-1.3653651140017016,-1.380143921154702,-1.0334841420341159,-3.85285805609778
2009-06-01,-0.984167141731273,-2.357252714880717,-1.4560520194804243,-1.0701918657808598,-1.304464949764793,-0.20516111115912417,-1.3491306414584994,-1.3625197865579992,-1.0012316726143,-3.9310489804924416
2009-07-01,-1.5885469888582284,-1.9569657930862074,-1.441492619097324,-0.39360664280805796,-1.2043078413415216,-0.25632379406043754,-1.3138376763107953,-0.5287780244711712,-1.0305242130192018,-3.269721576829949
2009-08-01,-1.8764920752398482,-2.530936905128703,-1.5888139800662033,-0.9124789550764388,-0.7412609079748645,-0.10123102018535281,-1.480066036461983,-1.2964075981193208,-1.3686512936950277,-4.104149294236144
2009-09-01,-1.3453776727460156,-1.832024207807371,-1.7068733196910655,-0.5590865999443692,-0.4448696119958884,-0.25632379406043754,-1.531593474152889,-1.41572234875701,-1.3246878736943093,-3.5864721290465855
2009-10-01,-1.4486530660399157,-1.831866563846788,-1.6478436498786344,-0.7245665570806804,-1.0992448366399972,-0.30788765825453707,-1.1906257454723017,-1.5285834761494974,-0.7270376255516998,-3.635577775224956
2009-11-01,-1.6217794008949171,-1.9275213347168096,-1.0588689498855968,-1.961943237025807,-1.1356238198059274,-0.3080882489009302,-0.8888735648528973,-1.475022107843454,-0.4065167440932387,-3.701113053552689
